ordo: paused (disengaged). Logging to /Users/michaelharrington/Library/Application Support/Ordo/log.db
ordo: rescue (off) = Ctrl+Alt+Cmd+Escape pressed twice within 2s.
ordo: engage (on)  = Ctrl+Alt+Cmd+O.
ordo: requires Accessibility permission (System Settings > Privacy & Security > Accessibility).
ordo: press Ctrl-C to stop.
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38426 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38426 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 21147 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 21147 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 2)
ordo: re-parking phantom window 35886 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
ordo: re-parking phantom window 39039 (attempt 3)
ordo: re-parking phantom window 36108 (attempt 2)
ordo: re-parking phantom window 24879 (attempt 2)
ordo: re-parking phantom window 35858 (attempt 2)
ordo: re-parking phantom window 36537 (attempt 2)
ordo: re-parking phantom window 36108 (attempt 3)
ordo: re-parking phantom window 24879 (attempt 3)
ordo: re-parking phantom window 35858 (attempt 3)
ordo: re-parking phantom window 36537 (attempt 3)
ordo: re-parking phantom window 38855 (attempt 2)
ordo: re-parking phantom window 39039 (attempt 2)
ordo: re-parking phantom window 38855 (attempt 3)
